f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
f(x): 14.203125	x1: 0.0	x2: 1.0	
