f(x): 21.779822636710733	x1: -4.1597871774637705	x2: 5.1531684009237875	
f(x): 21.692653463806217	x1: -4.150495221820976	x2: 5.14379696842395	
f(x): 21.605833313010002	x1: -4.141221963939389	x2: 5.134444240043977	
f(x): 21.5193607868273	x1: -4.131967366342125	x2: 5.1251101783064765	
f(x): 21.43323449335891	x1: -4.122731391627409	x2: 5.115794745809163	
f(x): 21.347453046278865	x1: -4.113514002468416	x2: 5.106497905224704	
f(x): 21.26201506481206	x1: -4.104315161613128	x2: 5.097219619300573	
f(x): 21.176919173712093	x1: -4.095134831884181	x2: 5.087959850858898	
f(x): 21.092164003239073	x1: -4.085972976178716	x2: 5.0787185627963085	
f(x): 21.007748189137587	x1: -4.076829557468228	x2: 5.069495718083794	
f(x): 20.923670372614755	x1: -4.06770453879842	x2: 5.060291279766549	
f(x): 20.839929200318345	x1: -4.058597883289053	x2: 5.051105210963824	
f(x): 20.75652332431499	x1: -4.049509554133797	x2: 5.0419374748687815	
f(x): 20.673451402068498	x1: -4.040439514600083	x2: 5.032788034748345	
f(x): 20.590712096418223	x1: -4.031387728028954	x2: 5.023656853943049	
f(x): 20.508304075557554	x1: -4.022354157834922	x2: 5.014543895866897	
f(x): 20.42622601301249	x1: -4.013338767505815	x2: 5.005449124007209	
f(x): 20.344476587620264	x1: -4.004341520602636	x2: 4.996372501924479	
f(x): 20.263054483508082	x1: -3.995362380759409	x2: 4.987313993252224	
f(x): 20.181958390071966	x1: -3.9864013116830397	x2: 4.978273561696841	
f(x): 20.101187001955616	x1: -3.9774582771531652	x2: 4.969251171037459	
f(x): 20.020739019029442	x1: -3.96853324102201	x2: 4.960246785125795	
f(x): 19.940613146369593	x1: -3.9596261672142408	x2: 4.951260367886007	
f(x): 19.860808094237143	x1: -3.9507370197268195	x2: 4.9422918833145495	
f(x): 19.78132257805734	x1: -3.94186576262886	x2: 4.933341295480028	
f(x): 19.702155318398884	x1: -3.9330123600614826	x2: 4.924408568523057	
f(x): 19.62330504095337	x1: -3.924176776237671	x2: 4.9154936666561095	
f(x): 19.54477047651477	x1: -3.915358975442127	x2: 4.9065965541633805	
f(x): 19.46655036095899	x1: -3.9065589220311265	x2: 4.897717195400639	
f(x): 19.38864343522353	x1: -3.8977765804323776	x2: 4.888855554795085	
f(x): 19.31104844528722	x1: -3.8890119151448768	x2: 4.880011596845207	
f(x): 19.23376414215003	x1: -3.8802648907387653	x2: 4.871185286120639	
f(x): 19.156789281812962	x1: -3.8715354718551875	x2: 4.862376587262017	
f(x): 19.080122625258035	x1: -3.862823623206148	x2: 4.853585464980839	
f(x): 19.003762938428345	x1: -3.8541293095743705	x2: 4.844811884059322	
f(x): 18.927708992208174	x1: -3.8454524958131544	x2: 4.836055809350256	
f(x): 18.851959562403223	x1: -3.8367931468462353	x2: 4.827317205776871	
